"TIME","GEO","UNIT","HAZARD","WASTE","NACE_R2","Value"
"2004","European Union - 28 countries","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","2,547,590,000"
"2004","European Union - 28 countries","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","31,850,000"
"2004","European Union - 28 countries","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","11,580,000"
"2004","European Union - 28 countries","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","4,430,000"
"2004","European Union - 28 countries","Tonne","Hazardous","Total waste","All NACE activities plus households","88,730,000"
"2004","European Union - 28 countries","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","14,660,000"
"2004","European Union - 28 countries","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","European Union - 28 countries","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","European Union - 28 countries","Tonne","Non-hazardous","Total waste","All NACE activities plus households","2,458,860,000"
"2004","European Union - 28 countries","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","17,190,000"
"2004","European Union - 28 countries","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","11,580,000"
"2004","European Union - 28 countries","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","4,430,000"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","52,809,345"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,599,200"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","1,332,559"
"2004","Belgium","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","106,766"
"2004","Belgium","Tonne","Hazardous","Total waste","All NACE activities plus households","5,197,467"
"2004","Belgium","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","1,056,194"
"2004","Belgium","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Belgium","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Belgium","Tonne","Non-hazardous","Total waste","All NACE activities plus households","47,611,878"
"2004","Belgium","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","543,006"
"2004","Belgium","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","1,332,559"
"2004","Belgium","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","106,766"
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","201,020,467"
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,220,430"
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","44,246"
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","32,922"
"2004","Bulgaria","Tonne","Hazardous","Total waste","All NACE activities plus households","11,897,809"
"2004","Bulgaria","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","93,026"
"2004","Bulgaria","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Bulgaria","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","All NACE activities plus households","189,122,658"
"2004","Bulgaria","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","1,127,404"
"2004","Bulgaria","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","44,246"
"2004","Bulgaria","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","32,922"
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","29,275,743"
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","309,722"
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","169,315"
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","310,438"
"2004","Czechia","Tonne","Hazardous","Total waste","All NACE activities plus households","1,446,021"
"2004","Czechia","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","237,895"
"2004","Czechia","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Czechia","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Czechia","Tonne","Non-hazardous","Total waste","All NACE activities plus households","27,829,722"
"2004","Czechia","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","71,827"
"2004","Czechia","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","169,315"
"2004","Czechia","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","310,438"
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","12,588,952"
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","27,555"
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","53,996"
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","1"
"2004","Denmark","Tonne","Hazardous","Total waste","All NACE activities plus households","319,672"
"2004","Denmark","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","26,646"
"2004","Denmark","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Denmark","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Denmark","Tonne","Non-hazardous","Total waste","All NACE activities plus households","12,269,280"
"2004","Denmark","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","909"
"2004","Denmark","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","53,996"
"2004","Denmark","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","1"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","364,021,937"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","4,196,144"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","1,138,544"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","222,336"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","All NACE activities plus households","20,000,026"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","3,686,521"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","All NACE activities plus households","344,021,911"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","509,623"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","1,138,544"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","222,336"
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","20,860,680"
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,236,714"
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","74,358"
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","43,363"
"2004","Estonia","Tonne","Hazardous","Total waste","All NACE activities plus households","7,333,269"
"2004","Estonia","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","1,154,105"
"2004","Estonia","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Estonia","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Estonia","Tonne","Non-hazardous","Total waste","All NACE activities plus households","13,527,411"
"2004","Estonia","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","82,609"
"2004","Estonia","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","74,358"
"2004","Estonia","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","43,363"
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","24,499,142"
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","112,959"
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","309,155"
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","166,651"
"2004","Ireland","Tonne","Hazardous","Total waste","All NACE activities plus households","724,345"
"2004","Ireland","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","34,441"
"2004","Ireland","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Ireland","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Ireland","Tonne","Non-hazardous","Total waste","All NACE activities plus households","23,774,797"
"2004","Ireland","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","78,518"
"2004","Ireland","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","309,155"
"2004","Ireland","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","166,651"
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","33,346,962"
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","81,633"
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","355,234"
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","16,347"
"2004","Greece","Tonne","Hazardous","Total waste","All NACE activities plus households","336,075"
"2004","Greece","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","28,392"
"2004","Greece","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Greece","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Greece","Tonne","Non-hazardous","Total waste","All NACE activities plus households","33,010,887"
"2004","Greece","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","53,241"
"2004","Greece","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","355,234"
"2004","Greece","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","16,347"
"2004","Spain","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","160,668,134"
"2004","Spain","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","2,141,473"
"2004","Spain","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","1,205,087"
"2004","Spain","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","188,762"
"2004","Spain","Tonne","Hazardous","Total waste","All NACE activities plus households","3,116,013"
"2004","Spain","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","868,593"
"2004","Spain","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Spain","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Spain","Tonne","Non-hazardous","Total waste","All NACE activities plus households","157,552,121"
"2004","Spain","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","1,272,880"
"2004","Spain","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","1,205,087"
"2004","Spain","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","188,762"
"2004","France","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","296,580,889"
"2004","France","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,443,650"
"2004","France","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","1,252,500"
"2004","France","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","489,600"
"2004","France","Tonne","Hazardous","Total waste","All NACE activities plus households","8,764,275"
"2004","France","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","1,425,680"
"2004","France","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","France","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","France","Tonne","Non-hazardous","Total waste","All NACE activities plus households","287,816,614"
"2004","France","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","17,970"
"2004","France","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","1,252,500"
"2004","France","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","489,600"
"2004","Croatia","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","7,208,688"
"2004","Croatia","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,612,130"
"2004","Croatia","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","63,232"
"2004","Croatia","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","22,154"
"2004","Croatia","Tonne","Hazardous","Total waste","All NACE activities plus households","113,298"
"2004","Croatia","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","27,885"
"2004","Croatia","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Croatia","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Croatia","Tonne","Non-hazardous","Total waste","All NACE activities plus households","7,095,390"
"2004","Croatia","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","1,584,245"
"2004","Croatia","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","63,232"
"2004","Croatia","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","22,154"
"2004","Italy","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","139,806,106"
"2004","Italy","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","2,450,175"
"2004","Italy","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","1,394,288"
"2004","Italy","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","753,187"
"2004","Italy","Tonne","Hazardous","Total waste","All NACE activities plus households","6,134,449"
"2004","Italy","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","1,341,263"
"2004","Italy","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Italy","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Italy","Tonne","Non-hazardous","Total waste","All NACE activities plus households","133,671,657"
"2004","Italy","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","1,108,912"
"2004","Italy","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","1,394,288"
"2004","Italy","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","753,187"
"2004","Cyprus","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","2,241,520"
"2004","Cyprus","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","4,940"
"2004","Cyprus","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","76,365"
"2004","Cyprus","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","25,564"
