"Nastale koli?ine komunalnih odpadkov in ravnanje z njimi (tone) po:"
"SEZNAM ODPADKOV, MERITVE , LETO"

"Seznam odpadkov - SKUPAJ"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";756846
" ";" ";"2003";785952
" ";" ";"2004";788601
" ";" ";"2005";797721
" ";" ";"2006";831578
" ";" ";"2007";846892
" ";" ";"2008";847451
" ";" ";"2009";826173
" ";" ";"2010";801959
" ";" ";"2011";725485
" ";" ";"2012";678190
" ";" ";"2013";861739
" ";" ";"2014";908869
" ";" ";"2015";943695
" ";" ";"2016";971027
" ";" ";"2017";1003836
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";571183
" ";" ";"2003";584813
" ";" ";"2004";608178
" ";" ";"2005";629177
" ";" ";"2006";642544
" ";" ";"2007";674803
" ";" ";"2008";664398
" ";" ";"2009";667058
" ";" ";"2010";639504
" ";" ";"2011";597356
" ";" ";"2012";564538
" ";" ";"2013";558905
" ";" ";"2014";542032
" ";" ";"2015";550627
" ";" ";"2016";564758
" ";" ";"2017";590871
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";185663
" ";" ";"2003";201139
" ";" ";"2004";180422
" ";" ";"2005";168545
" ";" ";"2006";189033
" ";" ";"2007";172093
" ";" ";"2008";183054
" ";" ";"2009";158689
" ";" ";"2010";156909
" ";" ";"2011";124364
" ";" ";"2012";107297
" ";" ";"2013";100943
" ";" ";"2014";123735
" ";" ";"2015";378834
" ";" ";"2016";394758
" ";" ";"2017";396280
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";754530
" ";" ";"2003";785232
" ";" ";"2004";787754
" ";" ";"2005";752713
" ";" ";"2006";823636
" ";" ";"2007";841755
" ";" ";"2008";842116
" ";" ";"2009";823346
" ";" ";"2010";797436
" ";" ";"2011";718215
" ";" ";"2012";670830
" ";" ";"2013";814865
" ";" ";"2014";858560
" ";" ";"2015";858516
" ";" ";"2016";943279
" ";" ";"2017";975267
" ";"Kolicina poslana v tujino"
" ";" ";"2002";2317
" ";" ";"2003";720
" ";" ";"2004";847
" ";" ";"2005";374
" ";" ";"2006";1646
" ";" ";"2007";1764
" ";" ";"2008";335
" ";" ";"2009";364
" ";" ";"2010";758
" ";" ";"2011";914
" ";" ";"2012";901
" ";" ";"2013";19452
" ";" ";"2014";32760
" ";" ";"2015";72130
" ";" ";"2016";10877
" ";" ";"2017";16703
"1501 Embalaza VKLJUCNO Z LOCENO ZBRANO EMB."
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";12369
" ";" ";"2003";19106
" ";" ";"2004";25125
" ";" ";"2005";24815
" ";" ";"2006";33348
" ";" ";"2007";35731
" ";" ";"2008";42093
" ";" ";"2009";55615
